date,ticker,sector,change,volume_ratio,market_cap,score,label
2026-04-28,NVDA,Technology,4.0,1.23,5264706109440,80,🔥 강력 후보
2026-04-28,WFC,Financials,1.44,1.23,246863216640,60,관심 후보
2026-04-28,GOOGL,Communication,1.72,1.12,4238218362880,50,관찰
2026-04-28,NVDA,Technology,4.0,1.23,5264706109440,80,🔥 강력 후보
2026-04-28,WFC,Financials,1.44,1.23,246863216640,60,관심 후보
2026-04-28,GOOGL,Communication,1.72,1.12,4238218362880,50,관찰
2026-04-28,NVDA,Technology,4.0,1.23,5264706109440,80,🔥 강력 후보
2026-04-28,WFC,Financials,1.44,1.23,246863216640,60,관심 후보
2026-04-28,GOOGL,Communication,1.72,1.12,4238218362880,50,관찰
2026-04-28,NVDA,Technology,4.0,1.23,5264706109440,80,🔥 강력 후보
2026-04-28,WFC,Financials,1.44,1.23,246863216640,60,관심 후보
2026-04-28,GOOGL,Communication,1.72,1.12,4238218362880,50,관찰
