date,ticker,sector,score,label,return_1d,return_3d,return_5d
2026-04-28,NVDA,Technology,80,🔥 강력 후보,,,
2026-04-28,WFC,Financials,60,관심 후보,,,
2026-04-28,GOOGL,Communication,50,관찰,,,
2026-04-28,NVDA,Technology,80,🔥 강력 후보,,,
2026-04-28,WFC,Financials,60,관심 후보,,,
2026-04-28,GOOGL,Communication,50,관찰,,,
2026-04-28,NVDA,Technology,80,🔥 강력 후보,,,
2026-04-28,WFC,Financials,60,관심 후보,,,
2026-04-28,GOOGL,Communication,50,관찰,,,
2026-04-28,NVDA,Technology,80,🔥 강력 후보,,,
2026-04-28,WFC,Financials,60,관심 후보,,,
2026-04-28,GOOGL,Communication,50,관찰,,,
